State_Name,District_Name,Crop
Andhra Pradesh,ANANTAPUR,Tomato
Andhra Pradesh,ANANTAPUR,Rapeseed &Mustard
Andhra Pradesh,ANANTAPUR,Mesta
Andhra Pradesh,ANANTAPUR,Cowpea(Lobia)
Andhra Pradesh,ANANTAPUR,other oilseeds
Andhra Pradesh,ANANTAPUR,Lemon
Andhra Pradesh,ANANTAPUR,Pome Granet
Andhra Pradesh,ANANTAPUR,Sapota
Andhra Pradesh,ANANTAPUR,Cabbage
Andhra Pradesh,ANANTAPUR,Cashewnut
Andhra Pradesh,CHITTOOR,Arhar/Tur
Andhra Pradesh,CHITTOOR,Bajra
Andhra Pradesh,CHITTOOR,Dry chillies
Andhra Pradesh,CHITTOOR,Groundnut
Andhra Pradesh,CHITTOOR,Horse-gram
Andhra Pradesh,CHITTOOR,Jowar
Andhra Pradesh,CHITTOOR,Maize
Andhra Pradesh,CHITTOOR,Moong(Green Gram)
Andhra Pradesh,CHITTOOR,Other Kharif pulses
Andhra Pradesh,CHITTOOR,Ragi
Andhra Pradesh,CHITTOOR,Rice
Andhra Pradesh,CHITTOOR,Samai
Andhra Pradesh,CHITTOOR,Sesamum
Andhra Pradesh,CHITTOOR,Sugarcane
Andhra Pradesh,CHITTOOR,Sunflower
Andhra Pradesh,CHITTOOR,Castor seed
Andhra Pradesh,CHITTOOR,Korra
Andhra Pradesh,CHITTOOR,Urad
Andhra Pradesh,CHITTOOR,Cotton(lint)
Andhra Pradesh,CHITTOOR,Masoor
Andhra Pradesh,CHITTOOR,Gram
Andhra Pradesh,CHITTOOR,Linseed
Andhra Pradesh,CHITTOOR,Onion
Andhra Pradesh,CHITTOOR,Tobacco
Andhra Pradesh,CHITTOOR,Mesta
Andhra Pradesh,CHITTOOR,other misc. pulses
Andhra Pradesh,CHITTOOR,Small millets
Andhra Pradesh,CHITTOOR,Other  Rabi pulses
Andhra Pradesh,CHITTOOR,Rapeseed &Mustard
Andhra Pradesh,CHITTOOR,Wheat
Andhra Pradesh,CHITTOOR,Banana
Andhra Pradesh,CHITTOOR,Cashewnut
Andhra Pradesh,CHITTOOR,Coconut 
Andhra Pradesh,CHITTOOR,Coriander
Andhra Pradesh,CHITTOOR,Potato
Andhra Pradesh,CHITTOOR,Sweet potato
Andhra Pradesh,CHITTOOR,Tapioca
Andhra Pradesh,CHITTOOR,Turmeric
Andhra Pradesh,CHITTOOR,other oilseeds
Andhra Pradesh,CHITTOOR,Beans & Mutter(Vegetable)
Andhra Pradesh,CHITTOOR,Bhindi
Andhra Pradesh,CHITTOOR,Brinjal
Andhra Pradesh,CHITTOOR,Cabbage
Andhra Pradesh,CHITTOOR,Citrus Fruit
Andhra Pradesh,CHITTOOR,Cucumber
Andhra Pradesh,CHITTOOR,Grapes
Andhra Pradesh,CHITTOOR,Mango
Andhra Pradesh,CHITTOOR,Orange
Andhra Pradesh,CHITTOOR,Other Fresh Fruits
Andhra Pradesh,CHITTOOR,Other Vegetables
Andhra Pradesh,CHITTOOR,Papaya
Andhra Pradesh,CHITTOOR,Peas  (vegetable)
Andhra Pradesh,CHITTOOR,Pome Fruit
Andhra Pradesh,CHITTOOR,Tomato
Andhra Pradesh,CHITTOOR,Cowpea(Lobia)
Andhra Pradesh,CHITTOOR,Lemon
Andhra Pradesh,CHITTOOR,Pome Granet
Andhra Pradesh,CHITTOOR,Sapota
Andhra Pradesh,CHITTOOR,Soyabean
Andhra Pradesh,EAST GODAVARI,Arhar/Tur
Andhra Pradesh,EAST GODAVARI,Bajra
Andhra Pradesh,EAST GODAVARI,Cotton(lint)
Andhra Pradesh,EAST GODAVARI,Dry chillies
Andhra Pradesh,EAST GODAVARI,Groundnut
Andhra Pradesh,EAST GODAVARI,Jowar
Andhra Pradesh,EAST GODAVARI,Korra
Andhra Pradesh,EAST GODAVARI,Maize
Andhra Pradesh,EAST GODAVARI,Ragi
Andhra Pradesh,EAST GODAVARI,Rice
Andhra Pradesh,EAST GODAVARI,Samai
Andhra Pradesh,EAST GODAVARI,Sesamum
Andhra Pradesh,EAST GODAVARI,Sugarcane
Andhra Pradesh,EAST GODAVARI,Sunflower
Andhra Pradesh,EAST GODAVARI,Tobacco
Andhra Pradesh,EAST GODAVARI,Horse-gram
Andhra Pradesh,EAST GODAVARI,Moong(Green Gram)
Andhra Pradesh,EAST GODAVARI,Urad
Andhra Pradesh,EAST GODAVARI,Small millets
Andhra Pradesh,EAST GODAVARI,Other  Rabi pulses
Andhra Pradesh,EAST GODAVARI,Castor seed
Andhra Pradesh,EAST GODAVARI,Masoor
Andhra Pradesh,EAST GODAVARI,Niger seed
Andhra Pradesh,EAST GODAVARI,Gram
Andhra Pradesh,EAST GODAVARI,Rapeseed &Mustard
Andhra Pradesh,EAST GODAVARI,Safflower
Andhra Pradesh,EAST GODAVARI,Onion
Andhra Pradesh,EAST GODAVARI,Mesta
Andhra Pradesh,EAST GODAVARI,Other Kharif pulses
Andhra Pradesh,EAST GODAVARI,Linseed
Andhra Pradesh,EAST GODAVARI,other misc. pulses
Andhra Pradesh,EAST GODAVARI,Arecanut
Andhra Pradesh,EAST GODAVARI,Banana
Andhra Pradesh,EAST GODAVARI,Cashewnut
Andhra Pradesh,EAST GODAVARI,Coconut 
Andhra Pradesh,EAST GODAVARI,Coriander
Andhra Pradesh,EAST GODAVARI,Sweet potato
Andhra Pradesh,EAST GODAVARI,Tapioca
Andhra Pradesh,EAST GODAVARI,Turmeric
Andhra Pradesh,EAST GODAVARI,other oilseeds
Andhra Pradesh,EAST GODAVARI,Beans & Mutter(Vegetable)
Andhra Pradesh,EAST GODAVARI,Bhindi
Andhra Pradesh,EAST GODAVARI,Bottle Gourd
Andhra Pradesh,EAST GODAVARI,Brinjal
Andhra Pradesh,EAST GODAVARI,Cabbage
Andhra Pradesh,EAST GODAVARI,Citrus Fruit
Andhra Pradesh,EAST GODAVARI,Cucumber
Andhra Pradesh,EAST GODAVARI,Mango
Andhra Pradesh,EAST GODAVARI,Orange
Andhra Pradesh,EAST GODAVARI,Other Fresh Fruits
Andhra Pradesh,EAST GODAVARI,Other Vegetables
Andhra Pradesh,EAST GODAVARI,Papaya
Andhra Pradesh,EAST GODAVARI,Pome Fruit
Andhra Pradesh,EAST GODAVARI,Tomato
Andhra Pradesh,EAST GODAVARI,Soyabean
Andhra Pradesh,EAST GODAVARI,Dry ginger
Andhra Pradesh,EAST GODAVARI,Cowpea(Lobia)
Andhra Pradesh,EAST GODAVARI,Lemon
Andhra Pradesh,EAST GODAVARI,Sapota
Andhra Pradesh,EAST GODAVARI,Sannhamp
Andhra Pradesh,EAST GODAVARI,Pome Granet
Andhra Pradesh,GUNTUR,Arhar/Tur
Andhra Pradesh,GUNTUR,Bajra
Andhra Pradesh,GUNTUR,Castor seed
Andhra Pradesh,GUNTUR,Cotton(lint)
Andhra Pradesh,GUNTUR,Dry chillies
Andhra Pradesh,GUNTUR,Groundnut
Andhra Pradesh,GUNTUR,Jowar
Andhra Pradesh,GUNTUR,Maize
Andhra Pradesh,GUNTUR,Moong(Green Gram)
Andhra Pradesh,GUNTUR,Rice
Andhra Pradesh,GUNTUR,Sesamum
Andhra Pradesh,GUNTUR,Small millets
Andhra Pradesh,GUNTUR,Sugarcane
Andhra Pradesh,GUNTUR,Sunflower
Andhra Pradesh,GUNTUR,Tobacco
Andhra Pradesh,GUNTUR,Urad
Andhra Pradesh,GUNTUR,Gram
Andhra Pradesh,GUNTUR,Varagu
Andhra Pradesh,GUNTUR,Masoor
Andhra Pradesh,GUNTUR,Ragi
Andhra Pradesh,GUNTUR,Rapeseed &Mustard
Andhra Pradesh,GUNTUR,Onion
Andhra Pradesh,GUNTUR,Horse-gram
Andhra Pradesh,GUNTUR,Banana
Andhra Pradesh,GUNTUR,Cashewnut
Andhra Pradesh,GUNTUR,Coconut 
Andhra Pradesh,GUNTUR,Coriander
Andhra Pradesh,GUNTUR,Sweet potato
Andhra Pradesh,GUNTUR,Turmeric
Andhra Pradesh,GUNTUR,Soyabean
Andhra Pradesh,GUNTUR,other oilseeds
Andhra Pradesh,GUNTUR,Beans & Mutter(Vegetable)
Andhra Pradesh,GUNTUR,Bhindi
Andhra Pradesh,GUNTUR,Bottle Gourd
Andhra Pradesh,GUNTUR,Brinjal
Andhra Pradesh,GUNTUR,Cabbage
Andhra Pradesh,GUNTUR,Citrus Fruit
Andhra Pradesh,GUNTUR,Cucumber
Andhra Pradesh,GUNTUR,Mango
Andhra Pradesh,GUNTUR,Orange
Andhra Pradesh,GUNTUR,other fibres
Andhra Pradesh,GUNTUR,Other Fresh Fruits
Andhra Pradesh,GUNTUR,Other Vegetables
Andhra Pradesh,GUNTUR,Papaya
Andhra Pradesh,GUNTUR,Pome Fruit
Andhra Pradesh,GUNTUR,Tomato
Andhra Pradesh,GUNTUR,Safflower
Andhra Pradesh,GUNTUR,Mesta
Andhra Pradesh,GUNTUR,Tapioca
Andhra Pradesh,GUNTUR,Linseed
Andhra Pradesh,GUNTUR,Wheat
Andhra Pradesh,GUNTUR,Lemon
Andhra Pradesh,GUNTUR,Sapota
Andhra Pradesh,GUNTUR,Cowpea(Lobia)
Andhra Pradesh,GUNTUR,Sannhamp
Andhra Pradesh,KADAPA,Arhar/Tur
Andhra Pradesh,KADAPA,Bajra
Andhra Pradesh,KADAPA,Castor seed
Andhra Pradesh,KADAPA,Cotton(lint)
Andhra Pradesh,KADAPA,Dry chillies
Andhra Pradesh,KADAPA,Groundnut
Andhra Pradesh,KADAPA,Horse-gram
Andhra Pradesh,KADAPA,Jowar
Andhra Pradesh,KADAPA,Korra
Andhra Pradesh,KADAPA,Maize
Andhra Pradesh,KADAPA,Moong(Green Gram)
Andhra Pradesh,KADAPA,Ragi
Andhra Pradesh,KADAPA,Rice
Andhra Pradesh,KADAPA,Sesamum
Andhra Pradesh,KADAPA,Sugarcane
Andhra Pradesh,KADAPA,Sunflower
Andhra Pradesh,KADAPA,Tobacco
Andhra Pradesh,KADAPA,Gram
Andhra Pradesh,KADAPA,Urad
Andhra Pradesh,KADAPA,Wheat
Andhra Pradesh,KADAPA,Masoor
Andhra Pradesh,KADAPA,Rapeseed &Mustard
Andhra Pradesh,KADAPA,Onion
Andhra Pradesh,KADAPA,Mesta
Andhra Pradesh,KADAPA,Other Kharif pulses
Andhra Pradesh,KADAPA,other misc. pulses
Andhra Pradesh,KADAPA,Samai
Andhra Pradesh,KADAPA,Small millets
Andhra Pradesh,KADAPA,Safflower
Andhra Pradesh,KADAPA,Banana
Andhra Pradesh,KADAPA,Cashewnut
Andhra Pradesh,KADAPA,Coconut 
Andhra Pradesh,KADAPA,Coriander
Andhra Pradesh,KADAPA,Sweet potato
Andhra Pradesh,KADAPA,Turmeric
Andhra Pradesh,KADAPA,Other  Rabi pulses
Andhra Pradesh,KADAPA,Beans & Mutter(Vegetable)
Andhra Pradesh,KADAPA,Bhindi
Andhra Pradesh,KADAPA,Bottle Gourd
Andhra Pradesh,KADAPA,Brinjal
Andhra Pradesh,KADAPA,Citrus Fruit
Andhra Pradesh,KADAPA,Cucumber
Andhra Pradesh,KADAPA,Mango
Andhra Pradesh,KADAPA,Orange
Andhra Pradesh,KADAPA,Other Fresh Fruits
Andhra Pradesh,KADAPA,Other Vegetables
Andhra Pradesh,KADAPA,Papaya
Andhra Pradesh,KADAPA,Pome Fruit
Andhra Pradesh,KADAPA,Tomato
Andhra Pradesh,KADAPA,other oilseeds
Andhra Pradesh,KADAPA,Dry ginger
Andhra Pradesh,KADAPA,Soyabean
Andhra Pradesh,KADAPA,Linseed
Andhra Pradesh,KADAPA,Garlic
Andhra Pradesh,KADAPA,Potato
Andhra Pradesh,KADAPA,Cowpea(Lobia)
Andhra Pradesh,KADAPA,Grapes
Andhra Pradesh,KADAPA,Lemon
Andhra Pradesh,KADAPA,Pome Granet
Andhra Pradesh,KADAPA,Sapota
Andhra Pradesh,KADAPA,Cabbage
Andhra Pradesh,KRISHNA,Arhar/Tur
Andhra Pradesh,KRISHNA,Cotton(lint)
Andhra Pradesh,KRISHNA,Dry chillies
Andhra Pradesh,KRISHNA,Groundnut
Andhra Pradesh,KRISHNA,Jowar
Andhra Pradesh,KRISHNA,Maize
Andhra Pradesh,KRISHNA,Mesta
Andhra Pradesh,KRISHNA,Moong(Green Gram)
Andhra Pradesh,KRISHNA,Rice
Andhra Pradesh,KRISHNA,Sesamum
Andhra Pradesh,KRISHNA,Sugarcane
Andhra Pradesh,KRISHNA,Sunflower
Andhra Pradesh,KRISHNA,Tobacco
Andhra Pradesh,KRISHNA,Urad
Andhra Pradesh,KRISHNA,Horse-gram
Andhra Pradesh,KRISHNA,Gram
Andhra Pradesh,KRISHNA,Masoor
Andhra Pradesh,KRISHNA,Ragi
Andhra Pradesh,KRISHNA,Rapeseed &Mustard
Andhra Pradesh,KRISHNA,Safflower
Andhra Pradesh,KRISHNA,Onion
Andhra Pradesh,KRISHNA,Bajra
Andhra Pradesh,KRISHNA,Castor seed
Andhra Pradesh,KRISHNA,Other  Rabi pulses
Andhra Pradesh,KRISHNA,Arecanut
Andhra Pradesh,KRISHNA,Banana
Andhra Pradesh,KRISHNA,Cashewnut
Andhra Pradesh,KRISHNA,Coconut 
Andhra Pradesh,KRISHNA,Dry ginger
Andhra Pradesh,KRISHNA,Sweet potato
Andhra Pradesh,KRISHNA,Tapioca
Andhra Pradesh,KRISHNA,Turmeric
Andhra Pradesh,KRISHNA,Other Kharif pulses
Andhra Pradesh,KRISHNA,Coriander
Andhra Pradesh,KRISHNA,other oilseeds
Andhra Pradesh,KRISHNA,Beans & Mutter(Vegetable)
Andhra Pradesh,KRISHNA,Bhindi
Andhra Pradesh,KRISHNA,Bottle Gourd
Andhra Pradesh,KRISHNA,Brinjal
Andhra Pradesh,KRISHNA,Cabbage
Andhra Pradesh,KRISHNA,Citrus Fruit
Andhra Pradesh,KRISHNA,Cucumber
Andhra Pradesh,KRISHNA,Mango
Andhra Pradesh,KRISHNA,Orange
Andhra Pradesh,KRISHNA,Other Fresh Fruits
Andhra Pradesh,KRISHNA,Other Vegetables
Andhra Pradesh,KRISHNA,Papaya
Andhra Pradesh,KRISHNA,Peas  (vegetable)
Andhra Pradesh,KRISHNA,Pome Fruit
Andhra Pradesh,KRISHNA,Tomato
Andhra Pradesh,KRISHNA,Soyabean
Andhra Pradesh,KRISHNA,Linseed
Andhra Pradesh,KRISHNA,Ginger
Andhra Pradesh,KRISHNA,Lemon
Andhra Pradesh,KRISHNA,Sapota
Andhra Pradesh,KRISHNA,Pome Granet
Andhra Pradesh,KURNOOL,Arhar/Tur
Andhra Pradesh,KURNOOL,Bajra
Andhra Pradesh,KURNOOL,Cotton(lint)
Andhra Pradesh,KURNOOL,Dry chillies
Andhra Pradesh,KURNOOL,Groundnut
Andhra Pradesh,KURNOOL,Jowar
Andhra Pradesh,KURNOOL,Korra
Andhra Pradesh,KURNOOL,Maize
Andhra Pradesh,KURNOOL,Moong(Green Gram)
Andhra Pradesh,KURNOOL,Ragi
Andhra Pradesh,KURNOOL,Rice
Andhra Pradesh,KURNOOL,Sugarcane
Andhra Pradesh,KURNOOL,Sunflower
Andhra Pradesh,KURNOOL,Tobacco
Andhra Pradesh,KURNOOL,Urad
Andhra Pradesh,KURNOOL,Gram
Andhra Pradesh,KURNOOL,Horse-gram
Andhra Pradesh,KURNOOL,Wheat
Andhra Pradesh,KURNOOL,Castor seed
Andhra Pradesh,KURNOOL,Other Kharif pulses
Andhra Pradesh,KURNOOL,Sesamum
Andhra Pradesh,KURNOOL,Masoor
Andhra Pradesh,KURNOOL,Linseed
Andhra Pradesh,KURNOOL,Rapeseed &Mustard
Andhra Pradesh,KURNOOL,Safflower
Andhra Pradesh,KURNOOL,Onion
Andhra Pradesh,KURNOOL,Niger seed
Andhra Pradesh,KURNOOL,other misc. pulses
Andhra Pradesh,KURNOOL,Samai
Andhra Pradesh,KURNOOL,Small millets
Andhra Pradesh,KURNOOL,Other  Rabi pulses
Andhra Pradesh,KURNOOL,Banana
Andhra Pradesh,KURNOOL,Coconut 
Andhra Pradesh,KURNOOL,Coriander
Andhra Pradesh,KURNOOL,Sweet potato
Andhra Pradesh,KURNOOL,Turmeric
Andhra Pradesh,KURNOOL,Mesta
Andhra Pradesh,KURNOOL,Beans & Mutter(Vegetable)
Andhra Pradesh,KURNOOL,Bhindi
Andhra Pradesh,KURNOOL,Bottle Gourd
Andhra Pradesh,KURNOOL,Brinjal
Andhra Pradesh,KURNOOL,Cabbage
Andhra Pradesh,KURNOOL,Citrus Fruit
Andhra Pradesh,KURNOOL,Cucumber
Andhra Pradesh,KURNOOL,Mango
Andhra Pradesh,KURNOOL,Orange
Andhra Pradesh,KURNOOL,Other Fresh Fruits
Andhra Pradesh,KURNOOL,Other Vegetables
Andhra Pradesh,KURNOOL,Papaya
Andhra Pradesh,KURNOOL,Pome Fruit
Andhra Pradesh,KURNOOL,Potato
Andhra Pradesh,KURNOOL,Tomato
Andhra Pradesh,KURNOOL,other oilseeds
Andhra Pradesh,KURNOOL,Grapes
Andhra Pradesh,KURNOOL,Soyabean
Andhra Pradesh,KURNOOL,Dry ginger
Andhra Pradesh,KURNOOL,Cowpea(Lobia)
Andhra Pradesh,KURNOOL,Lemon
Andhra Pradesh,KURNOOL,Pome Granet
Andhra Pradesh,KURNOOL,Sapota
